Time,Zone ID,Event type,Severity
00:42:42,2,DRONE_REQUEST,High,NONE
01:15:35,1,FIRE_DETECTED,Low,NONE
01:23:08,5,DRONE_REQUEST,High,NONE
01:41:05,3,DRONE_REQUEST,High,NONE
02:56:56,4,FIRE_DETECTED,High,NONE
03:11:31,1,FIRE_DETECTED,High,NONE
03:14:41,2,DRONE_REQUEST,High,NONE
03:27:10,4,DRONE_REQUEST,Moderate,NONE
03:31:35,5,FIRE_DETECTED,Low,NONE
03:54:07,3,DRONE_REQUEST,High,NONE
03:56:39,1,DRONE_REQUEST,Moderate,NONE
04:19:44,5,DRONE_REQUEST,Moderate,NONE
04:33:48,3,DRONE_REQUEST,Moderate,NONE
04:37:46,4,FIRE_DETECTED,High,NONE
04:46:07,5,DRONE_REQUEST,High,NONE
05:02:58,2,FIRE_DETECTED,Low,NONE
05:03:07,3,FIRE_DETECTED,Moderate,NONE
05:07:42,1,FIRE_DETECTED,Low,NONE
05:24:10,4,DRONE_REQUEST,High,NONE
05:26:08,5,FIRE_DETECTED,High,NONE
05:42:22,2,DRONE_REQUEST,Low,NONE
06:09:08,3,FIRE_DETECTED,High,NONE
06:11:18,4,DRONE_REQUEST,Moderate,NONE
06:22:41,2,DRONE_REQUEST,Moderate,NONE
06:38:27,5,FIRE_DETECTED,Low,NONE
06:52:03,4,DRONE_REQUEST,Moderate,NONE
07:12:55,3,DRONE_REQUEST,Low,NONE
07:23:30,1,DRONE_REQUEST,High,NONE
07:26:40,2,FIRE_DETECTED,Low,NONE
07:32:58,5,DRONE_REQUEST,Moderate,NONE
07:33:07,4,FIRE_DETECTED,Low,NONE
07:47:42,3,FIRE_DETECTED,Low,NONE
07:54:10,2,DRONE_REQUEST,High,NONE
07:56:08,1,FIRE_DETECTED,Moderate,NONE
07:59:08,4,DRONE_REQUEST,Low,NONE
